Altium Designer Pick and Place Locations
C:\Users\saghy\Documents\flight_controller\Hardware\flight_controller\Project Outputs for flight_controller\Pick Place\Pick Place for flight_controller.txt

========================================================================================================================
File Design Information:

Date:       18/05/25
Time:       22:49
Revision:   958de04375e58406b24f17ad94fef5c745e2030d
Variant:    No variations
Units used: mm

Designator Comment               Layer       Footprint                         Center-X(mm) Center-Y(mm) Rotation Description                                                                                                               
OSC2       27MHz                 BottomLayer X322527MSB4SI                     30.8499      18.4001      270      ""                                                                                                                        
R23        5k1                   TopLayer    YAGEO_RES_0603_1608               44.3000      15.1020      180      "RES 5.1K OHM 1% 1/10W 0603"                                                                                              
R22        5k1                   TopLayer    YAGEO_RES_0603_1608               44.3000      13.8980      180      "RES 5.1K OHM 1% 1/10W 0603"                                                                                              
R13        6.8k                  BottomLayer YAGEO_RES_0603_1608               20.2429      25.5239      90       "RES 10K OHM 1% 1/10W 0603"                                                                                               
R8         82k                   TopLayer    YAGEO_RES_0603_1608               41.7730      25.9999      180      "RES 82K OHM 1% 1/10W 0603"                                                                                               
R7         33k                   TopLayer    YAGEO_RES_0603_1608               41.7730      27.2499      0        "RES 33K OHM 1% 1/10W 0603"                                                                                               
C22        "0.1 µF"              BottomLayer CAP_0603_1608                     31.5500      27.7500      180      "CAP CER 0.1UF 50V X7R 0603"                                                                                              
C16        "0.1 µF"              TopLayer    CAP_0603_1608                     33.5000      20.3000      90       "CAP CER 0.1UF 50V X7R 0603"                                                                                              
P5         Connector             TopLayer    PAD_6                             34.2500      15.5998      90       "6pin connector"                                                                                                          
P4         Connector             TopLayer    PAD_6                             34.2500      41.9002      270      "6pin connector"                                                                                                          
P3         Connector             TopLayer    PAD_4                             34.2500      45.2497      270      "4pin Connector"                                                                                                          
P2         Connector             TopLayer    PAD_6                             34.2500      12.2498      90       "6pin connector"                                                                                                          
U4         BMP388                TopLayer    PQFN50P200X200X80-10N             40.2650      22.5000      180      "P-Sensor SPI I2C 1, 25 Bar SMD"                                                                                          
IC2        MIC5219-3.3YM5-TR     BottomLayer SOT95P280X145-5N                  40.2500      30.7500      90       "Integrated Circuit"                                                                                                      
IC1        MIC5219-3.3YM5-TR     BottomLayer SOT95P280X145-5N                  36.2500      30.7500      90       "Integrated Circuit"                                                                                                      
C7         "0.1 µF"              TopLayer    CAP_0603_1608                     37.5000      20.3000      90       "CAP CER 0.1UF 50V X7R 0603"                                                                                              
B1         Button                TopLayer    TS24CA                            19.2500      21.3207      90       "Push button"                                                                                                             
OSC1       8MHz                  TopLayer    CRYSTAL-SMD_4P-L3.2-W2.5-BL       23.6000      29.1499      270      ""                                                                                                                        
USB1       GT-USB-7010ASV        TopLayer    USB-C-SMD_G-SWITCH_GT-USB-7010ASV 47.4159      28.7500      90       ""                                                                                                                        
U5         AT7456E               BottomLayer SOP65P640X120-29N                 36.6880      19.7750      0        "Integrated Circuit"                                                                                                      
U3         ICM-42688-P           TopLayer    IIM42352                          41.7730      37.5000      0        "Integrated Circuit"                                                                                                      
U2         TPS54302DDCT          BottomLayer TI_SOT-23-6_DDC                   21.2429      32.5239      270      "IC REG BUCK ADJ 3A TSOT23-6"                                                                                             
